"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Precipitation Amount","1960 August","Shannon Airport","Millimetres","82.9"
"Precipitation Amount","1960 August","Dublin Airport","Millimetres","86.3"
"Precipitation Amount","1960 August","Mullingar","Millimetres","95.6"
"Precipitation Amount","1960 August","Cork Airport","Millimetres",""
"Precipitation Amount","1960 August","Casement","Millimetres",""
"Precipitation Amount","1960 August","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 August","Roches Point","Millimetres",""
"Precipitation Amount","1960 August","Markree","Millimetres",""
"Precipitation Amount","1960 September","Malin Head","Millimetres","64.1"
"Precipitation Amount","1960 September","Claremorris","Millimetres","86.6"
"Precipitation Amount","1960 September","Valentia Observatory","Millimetres","162.9"
"Precipitation Amount","1960 September","Belmullet","Millimetres","105.2"
"Precipitation Amount","1960 September","Shannon Airport","Millimetres","106.5"
"Precipitation Amount","1960 September","Dublin Airport","Millimetres","81.2"
"Precipitation Amount","1960 September","Mullingar","Millimetres","102.8"
"Precipitation Amount","1960 September","Cork Airport","Millimetres",""
"Precipitation Amount","1960 September","Casement","Millimetres",""
"Precipitation Amount","1960 September","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 September","Roches Point","Millimetres",""
"Precipitation Amount","1960 September","Markree","Millimetres",""
"Precipitation Amount","1960 October","Malin Head","Millimetres","67.4"
"Precipitation Amount","1960 October","Claremorris","Millimetres","59.1"
"Precipitation Amount","1960 October","Valentia Observatory","Millimetres","109.4"
"Precipitation Amount","1960 October","Belmullet","Millimetres","64.3"
"Precipitation Amount","1960 October","Shannon Airport","Millimetres","72.6"
"Precipitation Amount","1960 October","Dublin Airport","Millimetres","161.3"
"Precipitation Amount","1960 October","Mullingar","Millimetres","103.1"
"Precipitation Amount","1960 October","Cork Airport","Millimetres",""
"Precipitation Amount","1960 October","Casement","Millimetres",""
"Precipitation Amount","1960 October","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 October","Roches Point","Millimetres",""
"Precipitation Amount","1960 October","Markree","Millimetres",""
"Precipitation Amount","1960 November","Malin Head","Millimetres","85.8"
"Precipitation Amount","1960 November","Claremorris","Millimetres","210.8"
"Precipitation Amount","1960 November","Valentia Observatory","Millimetres","283.6"
"Precipitation Amount","1960 November","Belmullet","Millimetres","158.3"
"Precipitation Amount","1960 November","Shannon Airport","Millimetres","182"
"Precipitation Amount","1960 November","Dublin Airport","Millimetres","117.7"
"Precipitation Amount","1960 November","Mullingar","Millimetres","161.8"
"Precipitation Amount","1960 November","Cork Airport","Millimetres",""
"Precipitation Amount","1960 November","Casement","Millimetres",""
"Precipitation Amount","1960 November","Phoenix Park","Millimetres",""
"Precipitation Amount","1960 November","Roches Point","Millimetres",""
"Precipitation Amount","1960 November","Markree","Millimetres",""
"Precipitation Amount","1960 December","Malin Head","Millimetres","148.3"
"Precipitation Amount","1960 December","Claremorris","Millimetres","138.3"
"Precipitation Amount","1960 December","Valentia Observatory","Millimetres","221.6"
"Precipitation Amount","1960 December","Belmullet","Millimetres","150.1"
"Precipitation Amount","1960 December","Shannon Airport","Millimetres","175.1"
"Precipitation Amount","1960 December","Dublin Airport","Millimetres","95.4"
"Precipitation Amount","1960 December","Mullingar","Millimetres","102.9"
"Precipitation Amount","1960 December","Cork Airport","Millimetres",""
"Precipitation Amount","1960 December","Casement","Millimetres",""
"Precipitation Amount","1960 December","Phoenix Park","Millimetres",""
