"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Mean Wind Speed","1960 September","Phoenix Park","Knots",""
"Mean Wind Speed","1960 September","Roches Point","Knots",""
"Mean Wind Speed","1960 September","Markree","Knots",""
"Mean Wind Speed","1960 October","Malin Head","Knots","13.1"
"Mean Wind Speed","1960 October","Claremorris","Knots","6.7"
"Mean Wind Speed","1960 October","Valentia Observatory","Knots","6.5"
"Mean Wind Speed","1960 October","Belmullet","Knots","9"
"Mean Wind Speed","1960 October","Shannon Airport","Knots","7"
"Mean Wind Speed","1960 October","Dublin Airport","Knots","8.4"
"Mean Wind Speed","1960 October","Mullingar","Knots","6.6"
"Mean Wind Speed","1960 October","Cork Airport","Knots",""
"Mean Wind Speed","1960 October","Casement","Knots",""
"Mean Wind Speed","1960 October","Phoenix Park","Knots",""
"Mean Wind Speed","1960 October","Roches Point","Knots",""
"Mean Wind Speed","1960 October","Markree","Knots",""
"Mean Wind Speed","1960 November","Malin Head","Knots","14.3"
"Mean Wind Speed","1960 November","Claremorris","Knots","9.1"
"Mean Wind Speed","1960 November","Valentia Observatory","Knots","12.7"
"Mean Wind Speed","1960 November","Belmullet","Knots","15"
"Mean Wind Speed","1960 November","Shannon Airport","Knots","11.4"
"Mean Wind Speed","1960 November","Dublin Airport","Knots","10.5"
"Mean Wind Speed","1960 November","Mullingar","Knots","9.3"
"Mean Wind Speed","1960 November","Cork Airport","Knots",""
"Mean Wind Speed","1960 November","Casement","Knots",""
"Mean Wind Speed","1960 November","Phoenix Park","Knots",""
"Mean Wind Speed","1960 November","Roches Point","Knots",""
"Mean Wind Speed","1960 November","Markree","Knots",""
"Mean Wind Speed","1960 December","Malin Head","Knots","13.8"
"Mean Wind Speed","1960 December","Claremorris","Knots","6.9"
"Mean Wind Speed","1960 December","Valentia Observatory","Knots","11.3"
"Mean Wind Speed","1960 December","Belmullet","Knots","13.8"
"Mean Wind Speed","1960 December","Shannon Airport","Knots","9.6"
"Mean Wind Speed","1960 December","Dublin Airport","Knots","9.6"
"Mean Wind Speed","1960 December","Mullingar","Knots","8"
"Mean Wind Speed","1960 December","Cork Airport","Knots",""
"Mean Wind Speed","1960 December","Casement","Knots",""
"Mean Wind Speed","1960 December","Phoenix Park","Knots",""
"Mean Wind Speed","1960 December","Roches Point","Knots",""
"Mean Wind Speed","1960 December","Markree","Knots",""
"Mean Wind Speed","1961 January","Malin Head","Knots","14.6"
"Mean Wind Speed","1961 January","Claremorris","Knots","9.2"
"Mean Wind Speed","1961 January","Valentia Observatory","Knots","12"
"Mean Wind Speed","1961 January","Belmullet","Knots","13.8"
"Mean Wind Speed","1961 January","Shannon Airport","Knots","11.3"
"Mean Wind Speed","1961 January","Dublin Airport","Knots","11.1"
"Mean Wind Speed","1961 January","Mullingar","Knots","9.1"
"Mean Wind Speed","1961 January","Cork Airport","Knots",""
"Mean Wind Speed","1961 January","Casement","Knots",""
"Mean Wind Speed","1961 January","Phoenix Park","Knots",""
"Mean Wind Speed","1961 January","Roches Point","Knots",""
"Mean Wind Speed","1961 January","Markree","Knots",""
"Mean Wind Speed","1961 February","Malin Head","Knots","15.3"
"Mean Wind Speed","1961 February","Claremorris","Knots","11.8"
"Mean Wind Speed","1961 February","Valentia Observatory","Knots","14.8"
"Mean Wind Speed","1961 February","Belmullet","Knots","18.5"
"Mean Wind Speed","1961 February","Shannon Airport","Knots","14.1"
"Mean Wind Speed","1961 February","Dublin Airport","Knots","12"
"Mean Wind Speed","1961 February","Mullingar","Knots","11.8"
"Mean Wind Speed","1961 February","Cork Airport","Knots",""
"Mean Wind Speed","1961 February","Casement","Knots",""
"Mean Wind Speed","1961 February","Phoenix Park","Knots",""
"Mean Wind Speed","1961 February","Roches Point","Knots",""
"Mean Wind Speed","1961 February","Markree","Knots",""
"Mean Wind Speed","1961 March","Malin Head","Knots","15.6"
"Mean Wind Speed","1961 March","Claremorris","Knots","9.9"
"Mean Wind Speed","1961 March","Valentia Observatory","Knots","11.2"
"Mean Wind Speed","1961 March","Belmullet","Knots","16.4"
"Mean Wind Speed","1961 March","Shannon Airport","Knots","10.9"
"Mean Wind Speed","1961 March","Dublin Airport","Knots","9.7"
"Mean Wind Speed","1961 March","Mullingar","Knots","10.4"
"Mean Wind Speed","1961 March","Cork Airport","Knots",""
"Mean Wind Speed","1961 March","Casement","Knots",""
"Mean Wind Speed","1961 March","Phoenix Park","Knots",""
"Mean Wind Speed","1961 March","Roches Point","Knots",""
"Mean Wind Speed","1961 March","Markree","Knots",""
"Mean Wind Speed","1961 April","Malin Head","Knots","10.2"
"Mean Wind Speed","1961 April","Claremorris","Knots","7.1"
"Mean Wind Speed","1961 April","Valentia Observatory","Knots","9.3"
"Mean Wind Speed","1961 April","Belmullet","Knots","11.1"
"Mean Wind Speed","1961 April","Shannon Airport","Knots","8.6"
"Mean Wind Speed","1961 April","Dublin Airport","Knots","7.1"
"Mean Wind Speed","1961 April","Mullingar","Knots","7.3"
"Mean Wind Speed","1961 April","Cork Airport","Knots",""
"Mean Wind Speed","1961 April","Casement","Knots",""
"Mean Wind Speed","1961 April","Phoenix Park","Knots",""
"Mean Wind Speed","1961 April","Roches Point","Knots",""
"Mean Wind Speed","1961 April","Markree","Knots",""
"Mean Wind Speed","1961 May","Malin Head","Knots","11.9"
"Mean Wind Speed","1961 May","Claremorris","Knots","8.2"
"Mean Wind Speed","1961 May","Valentia Observatory","Knots","8.9"
"Mean Wind Speed","1961 May","Belmullet","Knots","12"
"Mean Wind Speed","1961 May","Shannon Airport","Knots","8.9"
"Mean Wind Speed","1961 May","Dublin Airport","Knots","7.8"
"Mean Wind Speed","1961 May","Mullingar","Knots","8"
"Mean Wind Speed","1961 May","Cork Airport","Knots",""
"Mean Wind Speed","1961 May","Casement","Knots",""
"Mean Wind Speed","1961 May","Phoenix Park","Knots",""
"Mean Wind Speed","1961 May","Roches Point","Knots",""
"Mean Wind Speed","1961 May","Markree","Knots",""
"Mean Wind Speed","1961 June","Malin Head","Knots","14.4"
"Mean Wind Speed","1961 June","Claremorris","Knots","8.7"
"Mean Wind Speed","1961 June","Valentia Observatory","Knots","8.4"
"Mean Wind Speed","1961 June","Belmullet","Knots","14"
"Mean Wind Speed","1961 June","Shannon Airport","Knots","9.8"
"Mean Wind Speed","1961 June","Dublin Airport","Knots","9.1"
"Mean Wind Speed","1961 June","Mullingar","Knots","9"
"Mean Wind Speed","1961 June","Cork Airport","Knots",""
"Mean Wind Speed","1961 June","Casement","Knots",""
"Mean Wind Speed","1961 June","Phoenix Park","Knots",""
"Mean Wind Speed","1961 June","Roches Point","Knots",""
"Mean Wind Speed","1961 June","Markree","Knots",""
"Mean Wind Speed","1961 July","Malin Head","Knots","12.2"
"Mean Wind Speed","1961 July","Claremorris","Knots","8.2"
"Mean Wind Speed","1961 July","Valentia Observatory","Knots","8.1"
"Mean Wind Speed","1961 July","Belmullet","Knots","11.1"
"Mean Wind Speed","1961 July","Shannon Airport","Knots","9.4"
"Mean Wind Speed","1961 July","Dublin Airport","Knots","8.7"
"Mean Wind Speed","1961 July","Mullingar","Knots","8.1"
"Mean Wind Speed","1961 July","Cork Airport","Knots",""
"Mean Wind Speed","1961 July","Casement","Knots",""
"Mean Wind Speed","1961 July","Phoenix Park","Knots",""
"Mean Wind Speed","1961 July","Roches Point","Knots",""
"Mean Wind Speed","1961 July","Markree","Knots",""
"Mean Wind Speed","1961 August","Malin Head","Knots","14.2"
"Mean Wind Speed","1961 August","Claremorris","Knots","10.2"
"Mean Wind Speed","1961 August","Valentia Observatory","Knots","9.9"
"Mean Wind Speed","1961 August","Belmullet","Knots","14.5"
"Mean Wind Speed","1961 August","Shannon Airport","Knots","12"
"Mean Wind Speed","1961 August","Dublin Airport","Knots","10.6"
"Mean Wind Speed","1961 August","Mullingar","Knots","9.1"
"Mean Wind Speed","1961 August","Cork Airport","Knots",""
"Mean Wind Speed","1961 August","Casement","Knots",""
"Mean Wind Speed","1961 August","Phoenix Park","Knots",""
"Mean Wind Speed","1961 August","Roches Point","Knots",""
"Mean Wind Speed","1961 August","Markree","Knots",""
"Mean Wind Speed","1961 September","Malin Head","Knots","12.8"
"Mean Wind Speed","1961 September","Claremorris","Knots","8.7"
"Mean Wind Speed","1961 September","Valentia Observatory","Knots","9.9"
"Mean Wind Speed","1961 September","Belmullet","Knots","13.7"
"Mean Wind Speed","1961 September","Shannon Airport","Knots","10.4"
"Mean Wind Speed","1961 September","Dublin Airport","Knots","8.3"
"Mean Wind Speed","1961 September","Mullingar","Knots","7.7"
"Mean Wind Speed","1961 September","Cork Airport","Knots",""
"Mean Wind Speed","1961 September","Casement","Knots",""
"Mean Wind Speed","1961 September","Phoenix Park","Knots",""
"Mean Wind Speed","1961 September","Roches Point","Knots",""
"Mean Wind Speed","1961 September","Markree","Knots",""
"Mean Wind Speed","1961 October","Malin Head","Knots","16.7"
"Mean Wind Speed","1961 October","Claremorris","Knots","9.1"
"Mean Wind Speed","1961 October","Valentia Observatory","Knots","10.8"
"Mean Wind Speed","1961 October","Belmullet","Knots","14.2"
"Mean Wind Speed","1961 October","Shannon Airport","Knots","11.5"
"Mean Wind Speed","1961 October","Dublin Airport","Knots","11"
"Mean Wind Speed","1961 October","Mullingar","Knots","9.1"
"Mean Wind Speed","1961 October","Cork Airport","Knots",""
"Mean Wind Speed","1961 October","Casement","Knots",""
"Mean Wind Speed","1961 October","Phoenix Park","Knots",""
"Mean Wind Speed","1961 October","Roches Point","Knots",""
"Mean Wind Speed","1961 October","Markree","Knots",""
"Mean Wind Speed","1961 November","Malin Head","Knots","12.1"
"Mean Wind Speed","1961 November","Claremorris","Knots","6.3"
"Mean Wind Speed","1961 November","Valentia Observatory","Knots","8.4"
"Mean Wind Speed","1961 November","Belmullet","Knots","10.8"
"Mean Wind Speed","1961 November","Shannon Airport","Knots","8.9"
"Mean Wind Speed","1961 November","Dublin Airport","Knots","10.4"
"Mean Wind Speed","1961 November","Mullingar","Knots","6.6"
"Mean Wind Speed","1961 November","Cork Airport","Knots",""
"Mean Wind Speed","1961 November","Casement","Knots",""
"Mean Wind Speed","1961 November","Phoenix Park","Knots",""
"Mean Wind Speed","1961 November","Roches Point","Knots",""
"Mean Wind Speed","1961 November","Markree","Knots",""
"Mean Wind Speed","1961 December","Malin Head","Knots","13"
"Mean Wind Speed","1961 December","Claremorris","Knots","8.1"
"Mean Wind Speed","1961 December","Valentia Observatory","Knots","11.7"
"Mean Wind Speed","1961 December","Belmullet","Knots","12.3"
"Mean Wind Speed","1961 December","Shannon Airport","Knots","11.1"
"Mean Wind Speed","1961 December","Dublin Airport","Knots","10.9"
"Mean Wind Speed","1961 December","Mullingar","Knots","7.9"
"Mean Wind Speed","1961 December","Cork Airport","Knots",""
