"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Mean Maximum Temperature","1960 August","Casement","Degrees C",""
"Mean Maximum Temperature","1960 August","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 August","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 August","Markree","Degrees C",""
"Mean Maximum Temperature","1960 September","Malin Head","Degrees C","15.6"
"Mean Maximum Temperature","1960 September","Claremorris","Degrees C","15.8"
"Mean Maximum Temperature","1960 September","Valentia Observatory","Degrees C","16.5"
"Mean Maximum Temperature","1960 September","Belmullet","Degrees C","15.8"
"Mean Maximum Temperature","1960 September","Shannon Airport","Degrees C","16.9"
"Mean Maximum Temperature","1960 September","Dublin Airport","Degrees C","16"
"Mean Maximum Temperature","1960 September","Mullingar","Degrees C","16"
"Mean Maximum Temperature","1960 September","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 September","Casement","Degrees C",""
"Mean Maximum Temperature","1960 September","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 September","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 September","Markree","Degrees C",""
"Mean Maximum Temperature","1960 October","Malin Head","Degrees C","12.7"
"Mean Maximum Temperature","1960 October","Claremorris","Degrees C","12.7"
"Mean Maximum Temperature","1960 October","Valentia Observatory","Degrees C","14.1"
"Mean Maximum Temperature","1960 October","Belmullet","Degrees C","13.3"
"Mean Maximum Temperature","1960 October","Shannon Airport","Degrees C","13.6"
"Mean Maximum Temperature","1960 October","Dublin Airport","Degrees C","13.1"
"Mean Maximum Temperature","1960 October","Mullingar","Degrees C","12.9"
"Mean Maximum Temperature","1960 October","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 October","Casement","Degrees C",""
"Mean Maximum Temperature","1960 October","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 October","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 October","Markree","Degrees C",""
"Mean Maximum Temperature","1960 November","Malin Head","Degrees C","9.7"
"Mean Maximum Temperature","1960 November","Claremorris","Degrees C","9.5"
"Mean Maximum Temperature","1960 November","Valentia Observatory","Degrees C","11.2"
"Mean Maximum Temperature","1960 November","Belmullet","Degrees C","10.4"
"Mean Maximum Temperature","1960 November","Shannon Airport","Degrees C","10.4"
"Mean Maximum Temperature","1960 November","Dublin Airport","Degrees C","9.8"
"Mean Maximum Temperature","1960 November","Mullingar","Degrees C","9.4"
"Mean Maximum Temperature","1960 November","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 November","Casement","Degrees C",""
"Mean Maximum Temperature","1960 November","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 November","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 November","Markree","Degrees C",""
"Mean Maximum Temperature","1960 December","Malin Head","Degrees C","7.5"
"Mean Maximum Temperature","1960 December","Claremorris","Degrees C","6.7"
"Mean Maximum Temperature","1960 December","Valentia Observatory","Degrees C","9.2"
"Mean Maximum Temperature","1960 December","Belmullet","Degrees C","8.2"
"Mean Maximum Temperature","1960 December","Shannon Airport","Degrees C","7.4"
"Mean Maximum Temperature","1960 December","Dublin Airport","Degrees C","6.9"
"Mean Maximum Temperature","1960 December","Mullingar","Degrees C","6.1"
"Mean Maximum Temperature","1960 December","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1960 December","Casement","Degrees C",""
"Mean Maximum Temperature","1960 December","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1960 December","Roches Point","Degrees C",""
"Mean Maximum Temperature","1960 December","Markree","Degrees C",""
"Mean Maximum Temperature","1961 January","Malin Head","Degrees C","7.4"
"Mean Maximum Temperature","1961 January","Claremorris","Degrees C","6.9"
"Mean Maximum Temperature","1961 January","Valentia Observatory","Degrees C","9.7"
"Mean Maximum Temperature","1961 January","Belmullet","Degrees C","8.1"
"Mean Maximum Temperature","1961 January","Shannon Airport","Degrees C","8.2"
"Mean Maximum Temperature","1961 January","Dublin Airport","Degrees C","7.2"
"Mean Maximum Temperature","1961 January","Mullingar","Degrees C","6.5"
"Mean Maximum Temperature","1961 January","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 January","Casement","Degrees C",""
"Mean Maximum Temperature","1961 January","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 January","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 January","Markree","Degrees C",""
"Mean Maximum Temperature","1961 February","Malin Head","Degrees C","9.7"
"Mean Maximum Temperature","1961 February","Claremorris","Degrees C","9.8"
"Mean Maximum Temperature","1961 February","Valentia Observatory","Degrees C","11.1"
"Mean Maximum Temperature","1961 February","Belmullet","Degrees C","10.1"
"Mean Maximum Temperature","1961 February","Shannon Airport","Degrees C","11"
"Mean Maximum Temperature","1961 February","Dublin Airport","Degrees C","10.5"
